Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	4.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.68173	 "	"	26.572	 "	"	2.61581	 "	"	6.37496	 "	"	0.026208	 "	"	2.1934	 "	"	2.13873	 "	"	6.37502	 "	"	13	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.47014	 "	"	30.3071	 "	"	1.38807	 "	"	4.74062	 "	"	0.026256	 "	"	0.543234	 "	"	0.722927	 "	"	4.74065	 "	"	10	 "	"	17	 "	"	23	 "	"	10	 "	"	7	 "	"	2	 "
"	16.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.05547	 "	"	34.448	 "	"	1.97677	 "	"	3.41835	 "	"	0.05568	 "	"	1.13194	 "	"	2.13873	 "	"	3.41837	 "	"	12	 "	"	18	 "	"	24	 "	"	12	 "	"	9	 "	"	4	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.62027	 "	"	30.6521	 "	"	1.55436	 "	"	3.40184	 "	"	0.01392	 "	"	1.13194	 "	"	2.13873	 "	"	3.40187	 "	"	13	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	8.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.69825	 "	"	31.3696	 "	"	2.61581	 "	"	7.51721	 "	"	0.052416	 "	"	2.1934	 "	"	2.13873	 "	"	7.51727	 "	"	14	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	2.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.65315	 "	"	25.7431	 "	"	2.61374	 "	"	4.65707	 "	"	0.02616	 "	"	2.19133	 "	"	2.13873	 "	"	4.65713	 "	"	11	 "	"	14	 "	"	20	 "	"	8	 "	"	9	 "	"	3	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.17945	 "	"	33.8659	 "	"	1.1244	 "	"	1.73569	 "	"	0.055488	 "	"	0.279568	 "	"	0.722927	 "	"	1.73571	 "	"	8	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	16.0	 "	"	4	 "	"	8192	 "	"	1024	 "	"	1.19355	 "	"	33.0935	 "	"	0.96565	 "	"	15.0086	 "	"	0.105024	 "	"	0.543234	 "	"	0.722927	 "	"	15.0087	 "	"	20	 "	"	18	 "	"	24	 "	"	9	 "	"	7	 "	"	6	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.764523	 "	"	33.55	 "	"	0.701984	 "	"	2.54506	 "	"	0.055488	 "	"	0.279568	 "	"	0.722927	 "	"	2.54509	 "	"	9	 "	"	13	 "	"	19	 "	"	7	 "	"	7	 "	"	2	 "
"	8.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.86041	 "	"	33.9834	 "	"	0.70301	 "	"	5.44829	 "	"	0.027936	 "	"	0.280594	 "	"	0.722927	 "	"	5.44832	 "	"	17	 "	"	16	 "	"	22	 "	"	8	 "	"	7	 "	"	4	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	1.64258	 "	"	31.886	 "	"	1.59377	 "	"	2.33469	 "	"	0.027744	 "	"	1.12987	 "	"	2.13873	 "	"	2.33471	 "	"	10	 "	"	14	 "	"	17	 "	"	11	 "	"	6	 "	"	3	 "
"	8.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.74004	 "	"	27.1781	 "	"	2.61789	 "	"	9.80737	 "	"	0.026256	 "	"	2.19547	 "	"	2.13873	 "	"	9.80743	 "	"	18	 "	"	16	 "	"	22	 "	"	9	 "	"	9	 "	"	5	 "
"	8.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.6368	 "	"	33.5821	 "	"	1.55436	 "	"	3.98013	 "	"	0.02784	 "	"	1.13194	 "	"	2.13873	 "	"	3.98016	 "	"	14	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	8.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.46625	 "	"	32.8928	 "	"	1.38755	 "	"	4.73396	 "	"	0.104832	 "	"	0.542721	 "	"	0.722927	 "	"	4.73399	 "	"	9	 "	"	17	 "	"	23	 "	"	10	 "	"	7	 "	"	2	 "
"	16.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.71383	 "	"	33.9834	 "	"	1.55643	 "	"	6.30171	 "	"	0.027936	 "	"	1.13402	 "	"	2.13873	 "	"	6.30174	 "	"	20	 "	"	17	 "	"	23	 "	"	9	 "	"	9	 "	"	6	 "
"	8.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.817979	 "	"	34.1257	 "	"	0.702497	 "	"	4.28483	 "	"	0.05568	 "	"	0.280081	 "	"	0.722927	 "	"	4.28487	 "	"	12	 "	"	15	 "	"	21	 "	"	8	 "	"	7	 "	"	3	 "
